rule_id|current_script|pattern|objectclass|proposed_script|confidence
A-A-DsHeuristicsAnonNSPI|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-A-DsHeuristicsAnonymous|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-A-DsHeuristicsDoNotVerifyUniqueness|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_aggregate|UNKNOWN|LOW
A-A-DsHeuristicsLDAPSecurity|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-A-FunctionalLevel-2008R2|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|forest_functional_level|NEED_NEW_COLLECTOR|LOW
A-A-FunctionalLevel-2012R2|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|forest_functional_level|NEED_NEW_COLLECTOR|LOW
A-A-FunctionalLevel-2016|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|forest_functional_level|NEED_NEW_COLLECTOR|LOW
A-A-HardenedPaths-DC-Integrity|scripts/collect/active_directory/Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_hardened_path|Collect-GPOSettings.ps1|MEDIUM
A-A-HardenedPaths-DC-MutualAuth|Collect-ADCompleteTaxonomy.ps1|*_DATA_GPO.xml|gpo_hardened_path}|Collect-GPOSettings.ps1|MEDIUM
A-P-RODCNeverReveal|Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|domain_controller|Collect-ADUptimeAndVersion.ps1|MEDIUM
A-A-PermissionsDC-AdminForest-Delegated|Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|dc_delegation|UNKNOWN|LOW
A-A-PermissionsDC-AzureADConnect|Collect-ADCompleteTaxonomy.ps1|*_DATA_Domain controllers.xml|dc_delegation|UNKNOWN|LOW
A-A-PreWin2000AuthenticatedUsers|Collect-ADCompleteTaxonomy.ps1|CONFIGURATION_DATA_Directory Service.xml|domain_config|NEED_NEW_COLLECTOR|LOW
A-A-PrimaryGroupID-Computers|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|computer|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-A-PrimaryGroupID-LT1000|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml||UNKNOWN|LOW
A-A-PrimaryGroupID-Users|Collect-ADCompleteTaxonomy.ps1|*_DATA_Users.xml|user|Collect-ADObjectsSecurityAttributes.ps1|MEDIUM
A-P-RODCRevealOnDemand|Collect-ADCompleteTaxonomy.ps1|*_DATA_Computers.xml|rodc_reveal_config|UNKNOWN|LOW
A-A-TrustExternal|Collect-ADCompleteTaxonomy.ps1|*_DATA_trustedDomain.xml|trustedDomain|Collect-Trusts.ps1|HIGH
